Date : 2025-03-07 00:22:12
Directory : c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing
Total : 173 files,  18890 codes, 1205 comments, 1704 blanks, all 21799 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\apis\AirbnbApiServiceTest.java                                           | Java               |        289 |         34 |         52 |        375 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\apis\ExternalApisControllerTest.java                                     | Java               |        136 |         21 |         40 |        197 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\apis\RentCastApiServiceTest.java                                         | Java               |        184 |         16 |         42 |        242 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\auth\AuthenticationControllerTest.java                                   | Java               |        185 |         43 |         38 |        266 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\auth\AuthenticationServiceTest.java                                      | Java               |        246 |         43 |         56 |        345 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\configs\ApplicationConfigurationTest.java                                | Java               |         71 |         12 |         21 |        104 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\configs\RestClientConfigurationTest.java                                 | Java               |         54 |          6 |         15 |         75 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\configs\SecurityConfigurationTest.java                                   | Java               |         83 |         11 |         23 |        117 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\email\EmailConfigurationTest.java                                        | Java               |         31 |          0 |          7 |         38 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\email\EmailServiceTest.java                                              | Java               |         38 |          0 |          7 |         45 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\favorite_listings\FavoriteListingControllerTest.java                     | Java               |        111 |         24 |         37 |        172 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\favorite_listings\FavoriteListingServiceTest.java                        | Java               |        119 |         20 |         40 |        179 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\geometry\PolygonCreatorTest.java                                         | Java               |         47 |          2 |         19 |         68 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\housing_listings\HousingListingControllerTest.java                       | Java               |        125 |         24 |         40 |        189 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\housing_listings\HousingListingServiceTest.java                          | Java               |        143 |         30 |         39 |        212 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\housing_listings\utils\UserPreferencesFiltererTest.java                  | Java               |        149 |          5 |         40 |        194 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\jwt\JwtAuthenticationFilterTest.java                                     | Java               |        110 |          0 |         14 |        124 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\jwt\JwtServiceTest.java                                                  | Java               |         84 |         20 |         27 |        131 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\user\UserControllerTest.java                                             | Java               |         99 |         24 |         34 |        157 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\user\UserServiceTest.java                                                | Java               |         80 |         16 |         26 |        122 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceControllerTest.java                | Java               |         79 |          0 |         31 |        110 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceServiceTest.java                   | Java               |         80 |          9 |         23 |        112 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\user_search_preferences\utils\UserPreferenceBuilderTest.java             | Java               |        120 |          3 |         37 |        160 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\README.md                                                                                                      | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\__test__\components\Card.test.jsx                                                                              | JavaScript JSX     |         35 |          0 |          7 |         42 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\__test__\components\Carousel.test.tsx                                                                          | TypeScript JSX     |         24 |          3 |          7 |         34 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\__test__\components\Navbar.test.tsx                                                                            | TypeScript JSX     |         55 |          0 |          9 |         64 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\__test__\setup.ts                                                                                              | TypeScript         |         31 |          3 |          4 |         38 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\eslint.config.mjs                                                                                              | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\jest.config.ts                                                                                                 | TypeScript         |         10 |          5 |          4 |         19 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\next.config.ts                                                                                                 | TypeScript         |          4 |          1 |          3 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\package-lock.json                                                                                              | JSON               |     10,887 |          0 |          1 |     10,888 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\package.json                                                                                                   | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\postcss.config.mjs                                                                                             | JavaScript         |          6 |          1 |          2 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\public\file.svg                                                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\public\globe.svg                                                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\public\sidebar\sidebar-collapse.svg                                                                            | XML                |          2 |          0 |          0 |          2 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\public\sidebar\sidebar-extend.svg                                                                              | XML                |          2 |          0 |          0 |          2 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\about\page.tsx                                                                                         | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\globals.css                                                                                            | CSS                |          3 |          0 |          5 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\home\Filters.tsx                                                                                       | TypeScript JSX     |        122 |         21 |         13 |        156 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\home\InnerFilters.tsx                                                                                  | TypeScript JSX     |        143 |         22 |         22 |        187 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\home\page.tsx                                                                                          | TypeScript JSX     |         55 |          2 |          7 |         64 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\layout.tsx                                                                                             | TypeScript JSX     |         34 |          0 |          7 |         41 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\page.tsx                                                                                               | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\providers.tsx                                                                                          | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\sign-in\page.tsx                                                                                       | TypeScript JSX     |         30 |          0 |          2 |         32 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\sign-up\page.tsx                                                                                       | TypeScript JSX     |         30 |          0 |          7 |         37 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\sign-up\verify\page.tsx                                                                                | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\app\utils\utils.ts                                                                                         | TypeScript         |          5 |          0 |          5 |         10 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Card.tsx                                                                                        | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Carousel.tsx                                                                                    | TypeScript JSX     |         21 |          4 |          1 |         26 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Footer.tsx                                                                                      | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Form.tsx                                                                                        | TypeScript JSX     |        113 |          6 |         10 |        129 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\FormHeader.tsx                                                                                  | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\GlobalContext.tsx                                                                               | TypeScript JSX     |         22 |          5 |          6 |         33 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Hero.tsx                                                                                        | TypeScript JSX     |         13 |          0 |          1 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\HousingSearch.tsx                                                                               | TypeScript JSX     |         55 |          6 |          6 |         67 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\HousingsList.tsx                                                                                | TypeScript JSX     |         74 |          9 |         16 |         99 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Loading.tsx                                                                                     | TypeScript JSX     |         40 |          1 |         11 |         52 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Map.tsx                                                                                         | TypeScript JSX     |         54 |          7 |          9 |         70 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\Navbar.tsx                                                                                      | TypeScript JSX     |         54 |          0 |          2 |         56 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\ResendEmailVerification.tsx                                                                     | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\components\VerificationCode.tsx                                                                            | TypeScript JSX     |        123 |          4 |         11 |        138 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\endpoints\apiConfig.ts                                                                                     | TypeScript         |         27 |          2 |          5 |         34 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\endpoints\auths.ts                                                                                         | TypeScript         |        109 |         32 |         10 |        151 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\endpoints\favorites.ts                                                                                     | TypeScript         |         60 |         25 |          7 |         92 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\endpoints\listings.ts                                                                                      | TypeScript         |         66 |         23 |          6 |         95 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\endpoints\preferences.ts                                                                                   | TypeScript         |         56 |         20 |          6 |         82 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\hooks\hooks.ts                                                                                             | TypeScript         |         22 |          2 |          2 |         26 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\entities.ts                                                                                     | TypeScript         |         52 |          0 |          3 |         55 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\requests\authsRequests.ts                                                                       | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\requests\favoriteListingsRequests.ts                                                            | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\requests\housingListingRequests.ts                                                              | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\requests\userPreferencesRequests.ts                                                             | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\requests\userRequests.ts                                                                        | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\src\interfaces\responses\authsResponses.ts                                                                     | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\tailwind.config.ts                                                                                             | TypeScript         |         51 |          0 |          3 |         54 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\frontend\tsconfig.json                                                                                                  | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\openapi.yml                                                                                                     | YAML               |         22 |          0 |          7 |         29 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\parameters\email.yaml                                                                                           | YAML               |          8 |          0 |          0 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\paths\auths.yaml                                                                                                | YAML               |          0 |          0 |          1 |          1 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\paths\favorites.yaml                                                                                            | YAML               |          0 |          0 |          1 |          1 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\paths\gather-housings.yaml                                                                                      | YAML               |          0 |          0 |          1 |          1 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\paths\users\email.yaml                                                                                          | YAML               |         33 |          0 |          6 |         39 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\schemas\favoriteListing.yaml                                                                                    | YAML               |         12 |          0 |          1 |         13 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\schemas\listing.yaml                                                                                            | YAML               |         75 |          0 |          1 |         76 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\schemas\user.yaml                                                                                               | YAML               |         55 |          0 |          1 |         56 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\openapi\schemas\userPreferences.yaml                                                                                    | YAML               |        111 |          0 |          1 |        112 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\scripts\inject_and_run_backend.py                                                                                       | Python             |         40 |          1 |         12 |         53 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\scripts\push_backend_image.py                                                                                           | Python             |         45 |          0 |         10 |         55 |
| Total                                                                                                                                                                            |                    |     18,890 |      1,205 |      1,704 |     21,799 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
